;tiempo;Delphinidin-3-O-sambubioside-5-O-glucoside;Delphinidin 3,5-O-diglucoside;Cyanidin-3-O-sambubioside-5-O-glucoside + Cyanidin 3,5-O-diglucoside;Delphinidin-3-O-sambubioside;Delphinidin-3-O-glucoside;Cyanidin-3-O-sambubioside +Cyanidin-3-O-glucoside;O-trygycosil naringenin;Eriodyctiol 7-O-rutinoside;Naringenin  7-O-rutinoside;Hespertin  7-O-rutinoside;mg Ac. Ascórbico (AA)/100ml de zumo;mg Ac. Dehidroascórbico/100ml de zumo
SU2_rep2;45;;;;;;;;;;;;
SUP_rep2;45;;;;;;;;;;;;
ST1_rep3;45;;;;;;;;;;;3,51;1,72
ST2_rep3;45;;;;;;;;;;;2,24;0,57
STP_rep3;45;;;;;;;;;;;2,41;1,73
SU1_rep3;45;;;;;;;;;;;;
SU2_rep3;45;;;;;;;;;;;;
SUP_rep3;45;;;;;;;;;;;;
ST1_rep1;60;;;;;;;;;;;2,96;1,19
ST2_rep1;60;;;;;;;;;;;2,16;0,10
STP_rep1;60;;;;;;;;;;;1,92;1,12
SU1_rep1;60;;;;;;;;;;;;
SU2_rep1;60;;;;;;;;;;;;
SUP_rep1;60;;;;;;;;;;;;
ST1_rep2;60;;;;;;;;;;;3,22;0,94
ST2_rep2;60;;;;;;;;;;;2,26;0,25
STP_rep2;60;;;;;;;;;;;2,09;0,94
SU1_rep2;60;;;;;;;;;;;;
SU2_rep2;60;;;;;;;;;;;;
SUP_rep2;60;;;;;;;;;;;;
ST1_rep3;60;;;;;;;;;;;2,90;1,05
ST2_rep3;60;;;;;;;;;;;2,19;0,07
STP_rep3;60;;;;;;;;;;;2,22;0,80
SU1_rep3;60;;;;;;;;;;;;
SU2_rep3;60;;;;;;;;;;;;
SUP_rep3;60;;;;;;;;;;;;
ST1_rep1;90;;;;;;;;;;;1,80;0,00
ST2_rep1;90;;;;;;;;;;;0,52;0,00
STP_rep1;90;;;;;;;;;;;0,90;0,00
SU1_rep1;90;;;;;;;;;;;;
SU2_rep1;90;;;;;;;;;;;;
SUP_rep1;90;;;;;;;;;;;;
ST1_rep2;90;;;;;;;;;;;1,48;0,00
ST2_rep2;90;;;;;;;;;;;0,80;0,00
STP_rep2;90;;;;;;;;;;;1,00;0,00
SU1_rep2;90;;;;;;;;;;;;
SU2_rep2;90;;;;;;;;;;;;
SUP_rep2;90;;;;;;;;;;;;
ST1_rep3;90;;;;;;;;;;;1,22;0,00
ST2_rep3;90;;;;;;;;;;;0,93;0,00
STP_rep3;90;;;;;;;;;;;1,10;0,00
SU1_rep3;90;;;;;;;;;;;;
SU2_rep3;90;;;;;;;;;;;;
SUP_rep3;90;;;;;;;;;;;;
