"","Mínimo","Q1","Media","Media recortada","Mediana","Moda","Varianza","Desviación Estándar","Q3","Máximo","Simetría","Curtosis"
"E",0,0.222222222222222,0.324070752408362,0.316537626824606,0.333333333333333,0.222222222222222,0.0335203511859371,0.183085638939642,0.444444444444444,1,0.944550118034802,0.943109870131771
"ES",0,0.076,0.124929072864557,0.117298347755975,0.1,0.1,0.0121934616754244,0.110424008600596,0.2,1,2.78849892974282,16.1958255435573
"Total.E",0,0.125,0.351190476190476,0.34375,0.25,NA,0.0771631823461092,0.277782617069732,0.59375,1,0.650839161562207,-0.629190887652007
"HE.G",0,0.000199004975124378,0.0076199646926657,0.0026089889535374,0.000597014925373134,0.000199004975124378,0.00409201192807677,0.0639688356004451,0.00199004975124378,1,15.0642182153584,230.561309513921
"NG",0,0.0263497944949558,0.0569768008308591,0.0498857689603999,0.0434829991281604,0.0136069248972475,0.00546371095129452,0.0739169192492119,0.0652945572300411,1,8.8895619812301,105.385564079891
